match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.1,Bangladesh,Afghanistan,Liton Das,Tamim Iqbal,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.2,Bangladesh,Afghanistan,Liton Das,Tamim Iqbal,Mujeeb Ur Rahman,1,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.3,Bangladesh,Afghanistan,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.4,Bangladesh,Afghanistan,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.5,Bangladesh,Afghanistan,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,0.6,Bangladesh,Afghanistan,Tamim Iqbal,Liton Das,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.1,Bangladesh,Afghanistan,Liton Das,Tamim Iqbal,Shapoor Zadran,0,0,,,,,,caught,Liton Das,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.2,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,0,1,1,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.3,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,2,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.4,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,4,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.5,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,1,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.6,Bangladesh,Afghanistan,Sabbir Rahman,Tamim Iqbal,Shapoor Zadran,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,1.7,Bangladesh,Afghanistan,Sabbir Rahman,Tamim Iqbal,Shapoor Zadran,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.1,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Mujeeb Ur Rahman,1,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.2,Bangladesh,Afghanistan,Sabbir Rahman,Tamim Iqbal,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.3,Bangladesh,Afghanistan,Sabbir Rahman,Tamim Iqbal,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.4,Bangladesh,Afghanistan,Sabbir Rahman,Tamim Iqbal,Mujeeb Ur Rahman,1,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.5,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Mujeeb Ur Rahman,0,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,2.6,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Mujeeb Ur Rahman,1,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,3.1,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,4,0,,,,,,,,,
1145983,2018,2018-06-05,Rajiv Gandhi International Cricket Stadium,1,3.2,Bangladesh,Afghanistan,Tamim Iqbal,Sabbir Rahman,Shapoor Zadran,0,0,,,,,,,,,
