match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
386494,2008/09,2009-02-25,AMI Stadium,1,0.1,India,New Zealand,G Gambhir,V Sehwag,TG Southee,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,0.2,India,New Zealand,G Gambhir,V Sehwag,TG Southee,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,0.3,India,New Zealand,G Gambhir,V Sehwag,TG Southee,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,0.4,India,New Zealand,V Sehwag,G Gambhir,TG Southee,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,0.5,India,New Zealand,V Sehwag,G Gambhir,TG Southee,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,0.6,India,New Zealand,V Sehwag,G Gambhir,TG Southee,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.1,India,New Zealand,G Gambhir,V Sehwag,IE O'Brien,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.2,India,New Zealand,G Gambhir,V Sehwag,IE O'Brien,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.3,India,New Zealand,V Sehwag,G Gambhir,IE O'Brien,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.4,India,New Zealand,V Sehwag,G Gambhir,IE O'Brien,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.5,India,New Zealand,G Gambhir,V Sehwag,IE O'Brien,4,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,1.6,India,New Zealand,G Gambhir,V Sehwag,IE O'Brien,0,0,,,,,,bowled,G Gambhir,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.1,India,New Zealand,V Sehwag,SK Raina,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.2,India,New Zealand,V Sehwag,SK Raina,IG Butler,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.3,India,New Zealand,V Sehwag,SK Raina,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.4,India,New Zealand,V Sehwag,SK Raina,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.5,India,New Zealand,SK Raina,V Sehwag,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,2.6,India,New Zealand,SK Raina,V Sehwag,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.1,India,New Zealand,V Sehwag,SK Raina,IE O'Brien,0,0,,,,,,bowled,V Sehwag,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.2,India,New Zealand,RG Sharma,SK Raina,IE O'Brien,0,1,,,,1,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.3,India,New Zealand,SK Raina,RG Sharma,IE O'Brien,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.4,India,New Zealand,SK Raina,RG Sharma,IE O'Brien,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.5,India,New Zealand,SK Raina,RG Sharma,IE O'Brien,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,3.6,India,New Zealand,RG Sharma,SK Raina,IE O'Brien,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.1,India,New Zealand,SK Raina,RG Sharma,TG Southee,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.2,India,New Zealand,SK Raina,RG Sharma,TG Southee,0,1,,,,1,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.3,India,New Zealand,RG Sharma,SK Raina,TG Southee,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.4,India,New Zealand,RG Sharma,SK Raina,TG Southee,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.5,India,New Zealand,RG Sharma,SK Raina,TG Southee,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,4.6,India,New Zealand,SK Raina,RG Sharma,TG Southee,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.1,India,New Zealand,RG Sharma,SK Raina,IG Butler,6,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.2,India,New Zealand,RG Sharma,SK Raina,IG Butler,0,0,,,,,,caught,RG Sharma,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.3,India,New Zealand,SK Raina,Yuvraj Singh,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.4,India,New Zealand,SK Raina,Yuvraj Singh,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.5,India,New Zealand,SK Raina,Yuvraj Singh,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,5.6,India,New Zealand,Yuvraj Singh,SK Raina,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.1,India,New Zealand,Yuvraj Singh,SK Raina,DL Vettori,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.2,India,New Zealand,Yuvraj Singh,SK Raina,DL Vettori,0,0,,,,,,lbw,Yuvraj Singh,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.3,India,New Zealand,MS Dhoni,SK Raina,DL Vettori,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.4,India,New Zealand,SK Raina,MS Dhoni,DL Vettori,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.5,India,New Zealand,MS Dhoni,SK Raina,DL Vettori,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,6.6,India,New Zealand,MS Dhoni,SK Raina,DL Vettori,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.1,India,New Zealand,SK Raina,MS Dhoni,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.2,India,New Zealand,MS Dhoni,SK Raina,IG Butler,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.3,India,New Zealand,MS Dhoni,SK Raina,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.4,India,New Zealand,SK Raina,MS Dhoni,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.5,India,New Zealand,MS Dhoni,SK Raina,IG Butler,0,0,,,,,,bowled,MS Dhoni,,
386494,2008/09,2009-02-25,AMI Stadium,1,7.6,India,New Zealand,YK Pathan,SK Raina,IG Butler,1,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,8.1,India,New Zealand,YK Pathan,SK Raina,DL Vettori,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,8.2,India,New Zealand,YK Pathan,SK Raina,DL Vettori,0,0,,,,,,,,,
386494,2008/09,2009-02-25,AMI Stadium,1,8.3,India,New Zealand,YK Pathan,SK Raina,DL Vettori,1,0,,,,,,,,,
