match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.1,West Indies,New Zealand,DR Smith,LMP Simmons,TG Southee,1,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.2,West Indies,New Zealand,LMP Simmons,DR Smith,TG Southee,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.3,West Indies,New Zealand,LMP Simmons,DR Smith,TG Southee,1,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.4,West Indies,New Zealand,DR Smith,LMP Simmons,TG Southee,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.5,West Indies,New Zealand,DR Smith,LMP Simmons,TG Southee,4,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,0.6,West Indies,New Zealand,DR Smith,LMP Simmons,TG Southee,1,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.1,West Indies,New Zealand,DR Smith,LMP Simmons,TA Boult,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.2,West Indies,New Zealand,DR Smith,LMP Simmons,TA Boult,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.3,West Indies,New Zealand,DR Smith,LMP Simmons,TA Boult,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.4,West Indies,New Zealand,DR Smith,LMP Simmons,TA Boult,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.5,West Indies,New Zealand,DR Smith,LMP Simmons,TA Boult,1,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,1.6,West Indies,New Zealand,LMP Simmons,DR Smith,TA Boult,0,0,,,,,,lbw,LMP Simmons,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,2.1,West Indies,New Zealand,DR Smith,ADS Fletcher,TG Southee,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,2.2,West Indies,New Zealand,DR Smith,ADS Fletcher,TG Southee,0,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,2.3,West Indies,New Zealand,DR Smith,ADS Fletcher,TG Southee,1,0,,,,,,,,,
730283,2014,2014-07-05,"Windsor Park, Roseau",1,2.4,West Indies,New Zealand,ADS Fletcher,DR Smith,TG Southee,1,0,,,,,,,,,
